Date,Close/Last,Volume,Open,High,Low
02/02/2018,153.93,5228394,$156.5105,$156.8009,$153.7678
01/02/2018,157.19,4431977,$157.9527,$158.8626,$156.7041
31/01/2018,158.45,4072020,$158.4948,$159.695,$157.5375
30/01/2018,158.37,4901284,$160.8758,$161.4178,$157.9189
29/01/2018,161.45,3514482,$162.076,$162.9858,$160.6822
26/01/2018,161.97,3772739,$160.7887,$162.0414,$160.4693
25/01/2018,160.16,3300971,$160.5854,$161.4275,$159.8885
24/01/2018,160.06,5557156,$161.3985,$163.3053,$159.5304
23/01/2018,160.91,7460921,$157.5946,$160.9242,$157.2946
22/01/2018,157.38,8456949,$156.3266,$158.7174,$155.9395
19/01/2018,157.16,21086490,$159.182,$160.0918,$156.1234
18/01/2018,163.69,13427660,$164.5442,$165.6379,$162.7535
17/01/2018,163.24,11671060,$162.618,$163.6975,$161.8921
16/01/2018,158.59,7589422,$159.8014,$159.9853,$158.1076
12/01/2018,157.90,5026753,$158.7561,$159.453,$157.7979
11/01/2018,158.93,3791309,$159.5111,$159.6466,$158.0592
10/01/2018,158.91,4168553,$157.6817,$159.0561,$157.2849
